ID;GENERO;CASADO;EDAD;GRADUADO;PROFESION;EXPERIENCIA LABORAL;GASTO DEL CLIENTE;TAMAÑO FAMILIA;CATEGORIA ANONIMA DEL CLIENTE
459091;Masculino;Si;72;Si;Artista;1.0;Medio;6.0;Cat_1
459093;Femenino;Si;41;Si;Doctor;9.0;Medio;2.0;Cat_4
459100;Femenino;No;61;Si;Artista;11.0;Bajo;1.0;Cat_6
459106;Masculino;Si;62;Si;Artista;0.0;Bajo;2.0;Cat_6
459114;Masculino;Si;56;Si;Artista;1.0;Medio;2.0;Cat_6
459116;Masculino;Si;60;Si;Artista;2.0;Medio;5.0;Cat_6
459117;Masculino;Si;68;Si;Artista;0.0;Alto;2.0;Cat_6
459118;Masculino;No;19;No;Enfermeria;1.0;Bajo;8.0;Cat_6
459119;Masculino;Si;57;Si;Ejecutivo;8.0;Alto;3.0;Cat_6
459120;Masculino;No;19;No;Enfermeria;5.0;Bajo;5.0;Cat_2
459121;Femenino;Si;51;Si;Artista;3.0;Medio;6.0;Cat_6
459123;Femenino;Si;86;No;Artista;1.0;Alto;2.0;Cat_6
459130;Femenino;Si;74;No;Abogado;1.0;Alto;2.0;Cat_6
459132;Masculino;No;23;No;Entretenimiento;6.0;Bajo;2.0;Cat_6
459136;Masculino;Si;47;Si;Artista;0.0;Medio;2.0;Cat_6
459140;Femenino;No;19;No;Enfermeria;7.0;Bajo;6.0;Cat_6
459143;Masculino;Si;50;No;Artista;0.0;Alto;4.0;Cat_6
459144;Masculino;Si;80;Si;Abogado;1.0;Alto;2.0;Cat_6
459145;Masculino;Si;78;No;Abogado;1.0;Bajo;1.0;Cat_2
459150;Femenino;No;48;Si;Doctor;0.0;Bajo;1.0;Cat_6
459160;Masculino;Si;70;Si;Doctor;1.0;Medio;2.0;Cat_6
459161;Masculino;Si;50;Si;Ejecutivo;3.0;Alto;5.0;Cat_6
459162;Femenino;Si;83;Si;Abogado;0.0;Alto;2.0;Cat_6
459163;Masculino;No;35;Si;Entretenimiento;0.0;Bajo;1.0;Cat_6
459167;Femenino;No;36;Si;Artista;0.0;Bajo;2.0;Cat_5
459170;Femenino;No;35;Si;Artista;1.0;Bajo;1.0;Cat_6
459171;Masculino;Si;35;Si;Artista;0.0;Medio;2.0;Cat_6
459172;Masculino;No;18;No;Enfermeria;3.0;Bajo;3.0;Cat_2
459175;Femenino;Si;73;Si;Artista;1.0;Medio;2.0;Cat_6
459181;Masculino;Si;62;No;Artista;1.0;Alto;3.0;Cat_6
459182;Femenino;Si;46;Si;Artista;1.0;Medio;2.0;Cat_6
459184;Masculino;Si;43;Si;Entretenimiento;0.0;Bajo;4.0;Cat_4
459185;Femenino;No;32;Si;Entretenimiento;7.0;Bajo;1.0;Cat_6
459193;Masculino;No;39;Si;Artista;0.0;Bajo;1.0;Cat_6
459194;Femenino;Si;89;Si;Abogado;0.0;Alto;2.0;Cat_6
459196;Femenino;No;18;No;Enfermeria;0.0;Bajo;3.0;Cat_4
459208;Femenino;Si;57;Si;Artista;0.0;Alto;2.0;Cat_3
459209;Femenino;No;18;No;Entretenimiento;0.0;Bajo;4.0;Cat_6
459210;Femenino;Si;71;Si;Artista;1.0;Alto;2.0;Cat_6
459212;Femenino;Si;69;Si;Artista;0.0;Medio;2.0;Cat_6
459213;Femenino;No;42;Si;Enfermeria;0.0;Bajo;4.0;Cat_6
459216;Femenino;No;36;Si;Artista;0.0;Bajo;2.0;Cat_6
459220;Femenino;Si;80;Si;Abogado;1.0;Alto;2.0;Cat_6
459221;Masculino;Si;69;No;Entretenimiento;2.0;Bajo;1.0;Cat_6
459222;Femenino;Si;67;Si;Artista;0.0;Medio;3.0;Cat_6
459223;Femenino;Si;47;Si;Doctor;1.0;Medio;4.0;Cat_6
459224;Femenino;Si;49;Si;Artista;0.0;Medio;2.0;Cat_6
459227;Femenino;Si;32;No;Ingenieria;9.0;Bajo;4.0;Cat_6
459229;Femenino;Si;65;Si;Abogado;1.0;Medio;4.0;Cat_6
459236;Femenino;Si;78;No;Abogado;0.0;Alto;2.0;Cat_6
459237;Masculino;No;33;Si;Artista;1.0;Bajo;6.0;Cat_6
459244;Masculino;Si;48;Si;Artista;1.0;Bajo;1.0;Cat_6
459247;Masculino;Si;58;Si;Ejecutivo;1.0;Medio;5.0;Cat_6
459258;Femenino;Si;83;Si;Abogado;1.0;Alto;Tens;Cat_6
459263;Femenino;No;30;No;Enfermeria;9.0;Bajo;4.0;Cat_6
459264;Femenino;No;35;Si;Artista;0.0;Bajo;2.0;Cat_6
459266;Masculino;No;32;Si;Enfermeria;6.0;Bajo;5.0;Cat_6
459270;Masculino;Si;69;Si;Dueño de casa;1.0;Alto;2.0;Cat_6
459284;Femenino;Si;71;Si;Abogado;1.0;Alto;2.0;Cat_6
459287;Masculino;No;43;Si;Abogado;0.0;Bajo;1.0;Cat_4
459288;Masculino;Si;37;Si;Artista;0.0;Bajo;2.0;Cat_6
459289;Masculino;No;42;Si;Doctor;0.0;Bajo;1.0;Cat_6
459290;Femenino;Si;70;Si;Doctor;1.0;Medio;2.0;Cat_6
459292;Masculino;No;46;Si;Artista;0.0;Bajo;2.0;Cat_6
459293;Masculino;No;21;No;Enfermeria;1.0;Bajo;Tens;Cat_1
459296;Masculino;Si;70;Si;Artista;0.0;Medio;2.0;Cat_6
459300;Femenino;Si;61;Si;Artista;1.0;Bajo;Tens;Cat_6
459307;Masculino;Si;60;Si;Entretenimiento;1.0;Bajo;1.0;Cat_6
459310;Masculino;No;37;Si;Entretenimiento;0.0;Bajo;2.0;Cat_2
459316;Masculino;Si;30;Si;Enfermeria;1.0;Bajo;2.0;Cat_6
459318;Femenino;No;32;Si;Ingenieria;1.0;Bajo;3.0;Cat_6
459320;Masculino;Si;26;Si;Ejecutivo;0.0;Bajo;3.0;Cat_6
459322;Masculino;No;42;Si;Marketing;0.0;Bajo;1.0;Cat_6
459323;Femenino;No;18;No;Doctor;1.0;Bajo;Tens;Cat_6
459338;Masculino;Si;80;No;Ejecutivo;1.0;Bajo;Tens;Cat_6
459339;Masculino;Si;29;Si;Enfermeria;8.0;Alto;2.0;Cat_6
459344;Femenino;Si;88;Si;Artista;1.0;Alto;2.0;Cat_6
459347;Masculino;Si;70;Si;Abogado;1.0;Bajo;1.0;Cat_6
459349;Femenino;Si;50;Si;Artista;1.0;Alto;4.0;Cat_6
459352;Masculino;Si;43;Si;Doctor;4.0;Medio;4.0;Cat_3
459353;Masculino;Si;51;Si;Artista;6.0;Medio;2.0;Cat_6
459354;Femenino;Si;50;Si;Artista;1.0;Alto;3.0;Cat_6
459355;Femenino;Si;74;No;Dueño de casa;1.0;Bajo;1.0;Cat_6
459360;Femenino;No;29;Si;Enfermeria;1.0;Bajo;3.0;Cat_6
459361;Femenino;No;32;Si;Ingenieria;1.0;Bajo;2.0;Cat_6
459362;Masculino;Si;60;No;Ejecutivo;0.0;Bajo;2.0;Cat_6
459363;Masculino;No;46;Si;Artista;2.0;Bajo;1.0;Cat_6
459364;Femenino;Si;81;Si;Marketing;0.0;Bajo;2.0;Cat_6
459369;Masculino;Si;41;No;Ingenieria;1.0;Medio;7.0;Cat_4
459375;Masculino;Si;22;No;Ejecutivo;0.0;Alto;4.0;Cat_6
459377;Masculino;Si;37;Si;Artista;0.0;Medio;3.0;Cat_6
459383;Masculino;Si;43;No;Ingenieria;0.0;Bajo;1.0;Cat_6
459384;Masculino;Si;50;Si;Artista;1.0;Medio;3.0;Cat_6
459385;Femenino;Si;35;Si;Artista;1.0;Medio;2.0;Cat_7
459386;Masculino;Si;65;No;Abogado;1.0;Alto;2.0;Cat_6
459391;Femenino;No;41;Si;Ingenieria;0.0;Bajo;4.0;Cat_6
459394;Masculino;No;28;No;Entretenimiento;8.0;Bajo;2.0;Cat_6
459397;Masculino;Si;55;Si;Artista;4.0;Medio;2.0;Cat_6
459398;Femenino;Si;58;No;Abogado;1.0;Alto;2.0;Cat_6
459401;Masculino;No;28;No;Enfermeria;1.0;Bajo;3.0;Cat_4
459403;Masculino;Si;48;Si;Artista;1.0;Medio;4.0;Cat_7
459405;Femenino;Si;78;No;Doctor;1.0;Alto;2.0;Cat_6
459407;Femenino;No;35;Si;Doctor;1.0;Bajo;3.0;Cat_6
459409;Femenino;Si;76;Si;Abogado;0.0;Alto;2.0;Cat_6
459410;Femenino;Si;88;Si;Abogado;1.0;Alto;2.0;Cat_6
459412;Masculino;Si;61;Si;Tens;1.0;Medio;3.0;Cat_6
459413;Femenino;Si;79;Si;Artista;1.0;Alto;2.0;Cat_6
459415;Masculino;No;30;No;Doctor;0.0;Bajo;4.0;Cat_6
459418;Masculino;Si;69;No;Ejecutivo;0.0;Alto;2.0;Cat_6
459419;Masculino;Si;65;Si;Doctor;1.0;Medio;2.0;Cat_6
459420;Femenino;Si;70;Si;Abogado;1.0;Bajo;2.0;Cat_6
459421;Masculino;Si;32;No;Enfermeria;0.0;Medio;4.0;Cat_6
459422;Masculino;Si;46;Si;Entretenimiento;1.0;Bajo;4.0;Cat_6
459423;Masculino;No;21;No;Enfermeria;8.0;Bajo;5.0;Cat_6
459424;Masculino;Si;47;Si;Doctor;1.0;Bajo;3.0;Cat_6
459428;Femenino;No;39;No;Marketing;0.0;Bajo;2.0;Cat_4
459432;Masculino;Si;85;Si;Abogado;0.0;Bajo;3.0;Cat_6
459436;Femenino;No;66;Si;Artista;0.0;Bajo;2.0;Cat_6
459439;Femenino;Si;50;Si;Artista;1.0;Medio;2.0;Cat_6
459445;Femenino;Si;42;Si;Artista;0.0;Medio;3.0;Cat_6
459447;Masculino;Si;53;Si;Artista;9.0;Bajo;1.0;Cat_6
459449;Masculino;Si;37;Si;Artista;1.0;Bajo;2.0;Cat_6
459451;Femenino;Si;45;Si;Artista;1.0;Bajo;2.0;Cat_6
459456;Femenino;No;66;No;Abogado;1.0;Bajo;1.0;Cat_6
459458;Masculino;No;33;No;Marketing;1.0;Bajo;Tens;Cat_6
459459;Masculino;Si;40;Si;Artista;4.0;Bajo;1.0;Cat_6
459461;Femenino;Si;35;Si;Artista;1.0;Bajo;1.0;Cat_1
459464;Masculino;No;27;Si;Artista;1.0;Bajo;2.0;Cat_6
459466;Femenino;Si;48;Si;Artista;0.0;Medio;3.0;Cat_4
459467;Femenino;Si;56;Si;Artista;0.0;Medio;2.0;Cat_6
459469;Masculino;Si;25;Si;Enfermeria;1.0;Bajo;6.0;Cat_6
459471;Femenino;No;30;No;Artista;1.0;Bajo;8.0;Cat_6
459480;Femenino;Si;46;Si;Entretenimiento;7.0;Bajo;3.0;Cat_6
459481;Masculino;Si;49;No;Abogado;0.0;Bajo;2.0;Cat_6
459482;Masculino;Si;72;No;Marketing;1.0;Bajo;4.0;Cat_6
459485;Femenino;Si;79;Si;Abogado;1.0;Alto;2.0;Cat_6
459496;Femenino;No;35;Si;Artista;1.0;Bajo;3.0;Cat_6
459497;Femenino;Si;77;Si;Abogado;0.0;Bajo;1.0;Cat_6
459499;Femenino;Si;79;No;Abogado;1.0;Alto;2.0;Cat_6
459503;Masculino;Si;42;Si;Enfermeria;6.0;Alto;4.0;Cat_6
459505;Femenino;No;42;Si;Ingenieria;1.0;Bajo;1.0;Cat_6
459507;Masculino;Si;67;No;Abogado;1.0;Alto;2.0;Cat_1
459509;Masculino;No;26;Si;Enfermeria;1.0;Bajo;1.0;Cat_6
459512;Masculino;Si;67;Si;Abogado;1.0;Alto;2.0;Cat_6
459515;Masculino;Si;55;Si;Ingenieria;1.0;Bajo;1.0;Cat_6
459516;Femenino;Tens;56;Si;Artista;1.0;Medio;2.0;Cat_6
459518;Masculino;Si;63;Tens;Tens;1.0;Medio;4.0;Cat_6
459535;Masculino;Si;46;Si;Artista;8.0;Medio;2.0;Cat_6
459536;Masculino;Si;32;Si;Enfermeria;7.0;Bajo;2.0;Cat_6
459538;Femenino;No;49;Si;Dueño de casa;13.0;Bajo;1.0;Cat_6
459541;Masculino;Si;59;Si;Artista;1.0;Alto;2.0;Cat_6
459549;Masculino;No;22;No;Enfermeria;8.0;Bajo;5.0;Cat_4
459555;Femenino;No;28;Si;Artista;8.0;Bajo;1.0;Cat_6
459558;Masculino;No;28;Si;Entretenimiento;1.0;Bajo;3.0;Cat_6
459564;Masculino;Si;75;Si;Abogado;2.0;Bajo;1.0;Cat_6
459566;Femenino;Si;37;Si;Artista;13.0;Bajo;2.0;Cat_6
459567;Masculino;Si;50;Si;Doctor;0.0;Medio;2.0;Cat_6
459571;Femenino;Si;50;Si;Ejecutivo;1.0;Alto;4.0;Cat_6
459576;Femenino;Si;88;No;Abogado;1.0;Bajo;Tens;Cat_4
459579;Femenino;Si;35;Si;Artista;3.0;Medio;5.0;Cat_4
459581;Femenino;No;35;No;Tens;1.0;Bajo;Tens;Cat_7
459582;Masculino;Si;31;No;Entretenimiento;1.0;Medio;3.0;Cat_6
459583;Masculino;Si;46;Si;Artista;0.0;Bajo;1.0;Cat_6
459585;Femenino;Si;50;Si;Artista;1.0;Medio;4.0;Cat_6
459587;Femenino;No;33;Si;Artista;7.0;Bajo;3.0;Cat_6
459588;Masculino;Si;49;Si;Artista;0.0;Bajo;1.0;Cat_6
459591;Masculino;Si;52;Si;Artista;1.0;Medio;3.0;Cat_6
459592;Masculino;No;25;No;Enfermeria;0.0;Bajo;3.0;Cat_6
459594;Femenino;Si;41;Si;Artista;6.0;Bajo;1.0;Cat_6
459597;Femenino;Si;68;Si;Artista;0.0;Alto;2.0;Cat_6
459603;Femenino;Si;79;No;Abogado;2.0;Alto;2.0;Cat_6
459607;Masculino;Si;40;Si;Entretenimiento;5.0;Medio;5.0;Cat_6
459608;Femenino;No;62;Si;Doctor;1.0;Bajo;1.0;Cat_6
459612;Masculino;No;21;No;Enfermeria;1.0;Bajo;2.0;Cat_6
459616;Femenino;No;20;No;Enfermeria;1.0;Bajo;4.0;Cat_1
459617;Masculino;No;28;Si;Entretenimiento;1.0;Bajo;5.0;Cat_6
459618;Masculino;Si;57;Si;Doctor;0.0;Medio;2.0;Cat_4
459621;Femenino;No;25;No;Enfermeria;8.0;Bajo;Tens;Cat_4
459625;Femenino;Si;63;No;Ingenieria;8.0;Bajo;1.0;Cat_6
459626;Femenino;Si;26;No;Entretenimiento;1.0;Bajo;3.0;Cat_6
459632;Femenino;Si;50;No;Marketing;0.0;Alto;3.0;Cat_4
459644;Femenino;No;30;No;Marketing;9.0;Bajo;4.0;Cat_2
459652;Femenino;No;26;No;Ingenieria;1.0;Bajo;4.0;Cat_4
459658;Masculino;Si;61;Si;Artista;1.0;Medio;3.0;Cat_6
459664;Masculino;No;42;Si;Artista;3.0;Bajo;1.0;Cat_6
459665;Masculino;Si;88;Si;Artista;4.0;Bajo;2.0;Cat_6
459672;Masculino;Si;45;No;Artista;3.0;Medio;3.0;Cat_6
459673;Femenino;Si;86;Si;Abogado;1.0;Bajo;1.0;Cat_6
459678;Masculino;No;18;No;Enfermeria;1.0;Bajo;5.0;Cat_6
459680;Masculino;No;37;Si;Entretenimiento;1.0;Bajo;1.0;Cat_6
459686;Masculino;Si;46;Si;Artista;1.0;Bajo;1.0;Cat_6
459691;Masculino;Si;58;No;Artista;1.0;Medio;2.0;Cat_6
459692;Femenino;Si;72;Si;Abogado;8.0;Alto;2.0;Cat_6
459693;Femenino;Si;50;Si;Artista;0.0;Alto;3.0;Cat_4
459699;Femenino;Tens;56;Si;Ingenieria;8.0;Medio;3.0;Cat_6
459701;Masculino;No;46;No;Artista;3.0;Bajo;3.0;Cat_5
459710;Masculino;Si;57;Si;Artista;1.0;Bajo;1.0;Cat_6
459711;Masculino;Si;42;No;Ejecutivo;9.0;Alto;6.0;Cat_6
459712;Masculino;No;20;No;Enfermeria;1.0;Bajo;4.0;Cat_6
459713;Masculino;No;19;No;Enfermeria;1.0;Bajo;3.0;Cat_6
459715;Masculino;No;19;No;Enfermeria;4.0;Bajo;4.0;Cat_6
459718;Masculino;Si;68;Si;Ejecutivo;1.0;Bajo;1.0;Cat_6
459725;Femenino;Si;40;Si;Artista;0.0;Bajo;2.0;Cat_6
459727;Masculino;Si;82;No;Abogado;1.0;Alto;2.0;Cat_6
459740;Femenino;No;23;No;Enfermeria;1.0;Bajo;3.0;Cat_6
459742;Femenino;Si;84;No;Abogado;1.0;Alto;2.0;Cat_6
459745;Masculino;Si;51;No;Artista;0.0;Bajo;4.0;Cat_1
459746;Masculino;Tens;59;Si;Artista;1.0;Medio;2.0;Cat_6
459747;Femenino;Si;41;Si;Artista;1.0;Medio;5.0;Cat_6
459748;Masculino;Si;51;No;Ejecutivo;1.0;Alto;2.0;Cat_6
459755;Femenino;Si;62;No;Artista;1.0;Medio;3.0;Cat_6
459756;Femenino;Si;62;No;Abogado;1.0;Alto;4.0;Cat_4
459760;Femenino;Si;38;Si;Artista;8.0;Bajo;1.0;Cat_6
459763;Masculino;No;18;No;Artista;1.0;Bajo;4.0;Cat_4
459767;Masculino;No;22;No;Enfermeria;3.0;Bajo;4.0;Cat_6
459771;Femenino;Tens;30;Si;Doctor;0.0;Bajo;3.0;Cat_3
459779;Femenino;Si;62;Si;Entretenimiento;1.0;Bajo;1.0;Cat_6
459780;Femenino;No;43;No;Entretenimiento;1.0;Bajo;3.0;Cat_6
459785;Femenino;No;32;Si;Ingenieria;1.0;Bajo;1.0;Cat_3
459793;Masculino;Si;37;Si;Artista;1.0;Alto;Tens;Cat_6
459795;Masculino;No;48;Si;Artista;1.0;Bajo;1.0;Cat_6
459801;Femenino;No;31;Si;Ingenieria;4.0;Bajo;2.0;Cat_6
459804;Masculino;Si;46;No;Artista;4.0;Alto;4.0;Cat_6
459806;Femenino;Si;49;No;Ingenieria;1.0;Medio;4.0;Cat_6
459808;Masculino;Si;43;No;Doctor;1.0;Medio;4.0;Cat_6
459815;Masculino;No;42;Si;Artista;8.0;Bajo;1.0;Cat_6
459816;Masculino;Si;37;Si;Doctor;1.0;Bajo;2.0;Cat_6
459819;Masculino;Si;72;Si;Entretenimiento;1.0;Alto;2.0;Cat_6
459821;Masculino;Tens;71;No;Ejecutivo;1.0;Alto;1.0;Cat_4
459822;Femenino;No;39;Si;Ingenieria;1.0;Bajo;1.0;Cat_4
459825;Masculino;No;20;No;Enfermeria;0.0;Bajo;5.0;Cat_2
459827;Femenino;No;26;No;Tens;1.0;Bajo;1.0;Cat_7
459832;Masculino;Si;72;Si;Ejecutivo;1.0;Bajo;1.0;Cat_6
459845;Masculino;Si;70;Si;Enfermeria;0.0;Bajo;1.0;Cat_4
459851;Masculino;No;45;Si;Artista;2.0;Bajo;1.0;Cat_6
459853;Masculino;No;33;No;Ejecutivo;7.0;Bajo;5.0;Cat_6
459856;Masculino;Si;50;No;Entretenimiento;0.0;Medio;3.0;Cat_6
459857;Masculino;No;31;Si;Entretenimiento;6.0;Bajo;1.0;Cat_6
459861;Femenino;Si;74;No;Abogado;1.0;Alto;2.0;Cat_6
459864;Femenino;Si;68;No;Artista;1.0;Alto;2.0;Cat_6
459866;Femenino;No;49;Si;Artista;1.0;Bajo;1.0;Cat_6
459867;Masculino;Si;49;Si;Marketing;0.0;Alto;2.0;Cat_6
459869;Femenino;No;18;No;Enfermeria;1.0;Bajo;3.0;Cat_6
459871;Femenino;Si;85;No;Entretenimiento;2.0;Medio;2.0;Cat_6
459885;Femenino;No;38;Si;Entretenimiento;1.0;Bajo;4.0;Cat_6
459886;Masculino;Si;28;No;Artista;0.0;Bajo;4.0;Cat_6
459887;Masculino;Si;46;No;Artista;3.0;Medio;2.0;Cat_4
459889;Masculino;Si;59;Si;Dueño de casa;9.0;Medio;3.0;Cat_6
459897;Femenino;Si;56;Si;Artista;0.0;Bajo;2.0;Cat_6
459909;Masculino;Si;69;Si;Artista;0.0;Bajo;1.0;Cat_6
459910;Masculino;Si;66;Si;Artista;0.0;Bajo;2.0;Cat_6
459911;Masculino;No;18;No;Enfermeria;4.0;Bajo;6.0;Cat_2
459914;Masculino;No;36;Si;Artista;4.0;Bajo;1.0;Cat_4
459923;Masculino;No;31;Si;Marketing;1.0;Bajo;2.0;Cat_3
459925;Masculino;Si;67;No;Ejecutivo;1.0;Alto;2.0;Cat_4
459937;Femenino;No;39;Si;Artista;7.0;Bajo;1.0;Cat_6
459943;Masculino;No;42;Si;Entretenimiento;4.0;Bajo;3.0;Cat_6
459945;Masculino;Si;50;Si;Artista;0.0;Bajo;2.0;Cat_6
459946;Femenino;Si;37;Si;Artista;0.0;Medio;2.0;Cat_6
459949;Femenino;No;59;Si;Artista;0.0;Bajo;1.0;Cat_6
459953;Masculino;Si;50;Si;Artista;8.0;Bajo;2.0;Cat_6
459961;Masculino;Si;48;Si;Artista;8.0;Bajo;3.0;Cat_2
459962;Masculino;Si;55;Si;Artista;9.0;Bajo;1.0;Cat_6
459966;Femenino;No;33;Si;Doctor;1.0;Bajo;3.0;Cat_6
459968;Masculino;No;38;Si;Artista;13.0;Bajo;1.0;Cat_7
459970;Masculino;No;43;Si;Artista;0.0;Bajo;2.0;Cat_6
459973;Femenino;No;53;Si;Artista;0.0;Bajo;2.0;Cat_6
459974;Masculino;No;37;Si;Entretenimiento;0.0;Bajo;1.0;Cat_6
459975;Femenino;No;36;Si;Artista;5.0;Bajo;1.0;Cat_6
459981;Masculino;No;36;Si;Artista;5.0;Bajo;1.0;Cat_6
459986;Masculino;Si;62;Si;Artista;1.0;Bajo;1.0;Cat_6
459995;Femenino;No;38;No;Artista;2.0;Bajo;2.0;Cat_6
459996;Masculino;No;55;Si;Entretenimiento;1.0;Bajo;1.0;Cat_6
459998;Masculino;Si;60;No;Entretenimiento;1.0;Medio;2.0;Cat_6
460004;Femenino;Si;36;Si;Entretenimiento;7.0;Medio;2.0;Cat_5
460006;Masculino;No;30;No;Entretenimiento;5.0;Bajo;9.0;Cat_3
460014;Femenino;No;66;No;Entretenimiento;4.0;Bajo;3.0;Cat_6
460023;Masculino;Si;45;Si;Entretenimiento;1.0;Bajo;1.0;Cat_6
460027;Femenino;No;40;Si;Entretenimiento;6.0;Bajo;Tens;Cat_6
460033;Femenino;Tens;45;Si;Entretenimiento;5.0;Bajo;3.0;Cat_6
460036;Masculino;Si;41;Si;Tens;2.0;Bajo;1.0;Cat_6
460040;Femenino;Si;62;Si;Dueño de casa;4.0;Bajo;1.0;Cat_5
460045;Masculino;Si;61;Si;Artista;1.0;Bajo;2.0;Cat_6
460046;Femenino;Si;50;Si;Artista;4.0;Bajo;2.0;Cat_6
460050;Masculino;Si;53;Si;Entretenimiento;3.0;Bajo;2.0;Cat_6
460051;Masculino;No;39;Si;Artista;7.0;Bajo;1.0;Cat_6
460052;Femenino;No;86;Si;Abogado;0.0;Bajo;1.0;Cat_3
460058;Masculino;Si;50;Si;Artista;1.0;Bajo;1.0;Cat_4
460059;Femenino;No;46;No;Entretenimiento;4.0;Bajo;Tens;Cat_4
460061;Masculino;No;52;Si;Marketing;0.0;Bajo;1.0;Cat_3
460066;Femenino;No;45;No;Marketing;0.0;Bajo;1.0;Cat_6
460068;Femenino;No;37;Si;Artista;9.0;Bajo;1.0;Cat_6
460073;Femenino;Si;36;Si;Ingenieria;3.0;Bajo;1.0;Cat_6
460075;Femenino;No;25;Si;Artista;1.0;Bajo;1.0;Cat_6
460079;Femenino;No;40;No;Doctor;1.0;Bajo;1.0;Cat_6
460081;Masculino;Si;41;Si;Artista;11.0;Alto;2.0;Cat_6
460088;Femenino;Si;25;Si;Dueño de casa;1.0;Alto;2.0;Cat_6
460090;Masculino;Si;80;No;Abogado;4.0;Medio;2.0;Cat_6
460093;Femenino;No;46;Si;Artista;3.0;Bajo;1.0;Cat_3
460095;Femenino;Si;81;Si;Abogado;1.0;Bajo;1.0;Cat_6
460097;Masculino;Tens;40;Si;Artista;0.0;Bajo;2.0;Cat_3
460099;Masculino;No;49;Si;Tens;1.0;Bajo;1.0;Cat_3
460101;Femenino;No;26;Si;Enfermeria;8.0;Bajo;3.0;Cat_3
460103;Masculino;No;26;Si;Artista;1.0;Bajo;1.0;Cat_4
460105;Femenino;No;47;Si;Artista;0.0;Bajo;1.0;Cat_4
460106;Femenino;Si;71;Si;Entretenimiento;0.0;Bajo;Tens;Cat_6
460107;Masculino;Si;48;Si;Ingenieria;1.0;Medio;5.0;Cat_6
460108;Masculino;Si;39;Si;Artista;1.0;Medio;3.0;Cat_2
460109;Masculino;Si;50;Si;Artista;8.0;Medio;2.0;Cat_6
460110;Femenino;No;46;Si;Artista;1.0;Bajo;2.0;Cat_4
460112;Masculino;Si;26;Si;Ingenieria;8.0;Medio;2.0;Cat_3
460116;Femenino;Si;42;Si;Tens;1.0;Bajo;2.0;Cat_6
460118;Femenino;Si;36;Si;Artista;4.0;Bajo;2.0;Cat_6
460119;Masculino;No;29;Si;Enfermeria;1.0;Bajo;4.0;Cat_6
460122;Femenino;No;39;No;Artista;1.0;Bajo;1.0;Cat_6
460124;Femenino;No;41;Si;Artista;0.0;Bajo;3.0;Cat_6
460126;Femenino;Si;48;Si;Marketing;8.0;Bajo;Tens;Cat_6
